Date; time; Left actuator; Right actuator
11.25.2015; 16:55:01; 0; 0
11.25.2015; 16:55:01; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:02; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:03; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:04; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:05; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:06; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
